Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P84098,RL19_HUMAN,RPL19,Large ribosomal subunit protein eL19,3,3,71558.6,59627.9,50709.2
P84101,SERF2_HUMAN,SERF2,Small EDRK-rich factor 2,1,1,102487,118056,117645
P84103,SRSF3_HUMAN,SRSF3,Serine/arginine-rich splicing factor 3,3,3,1.74E+06,1.93E+06,1.92E+06
P85037,FOXK1_HUMAN,FOXK1,Forkhead box protein K1,6,5,42390.2,40151.8,38934
P86790;P86791,CCZ1B_HUMAN;CCZ1_HUMAN,CCZ1;CCZ1B,Vacuolar fusion protein CCZ1 homolog B,6,0,27022.5,17979.8,23774.1
P87108,TIM10_YEAST,TIM10,Mitochondrial import inner membrane translocase subunit TIM10,3,3,215803,294785,270556
P89102,SEC5_YEAST,SEC5,Exocyst complex component SEC5,5,5,25609.6,29624.9,29330.7
P89105,CTR9_YEAST,CTR9,RNA polymerase-associated protein CTR9,6,6,33216.8,43508,43377.6
P89886,TMA20_YEAST,TMA20,Translation machinery-associated protein 20,4,4,194094,216487,170787
P98082,DAB2_HUMAN,DAB2,Disabled homolog 2,9,9,95417.5,81658,74436.4
P98160,PGBM_HUMAN,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,11,11,13836.8,13782.8,12583
P98170,XIAP_HUMAN,XIAP,E3 ubiquitin-protein ligase XIAP,2,2,7332.56,5285.65,6578.22
P98175,RBM10_HUMAN,RBM10,RNA-binding protein 10,9,9,147334,145089,139756
P98194,AT2C1_HUMAN,ATP2C1,Calcium-transporting ATPase type 2C member 1,9,9,35484.5,46841.9,39771.5
P98196,AT11A_HUMAN,ATP11A,Phospholipid-transporting ATPase IH,5,5,8967.25,6398.18,6946.19
P99999,CYC_HUMAN,CYCS,Cytochrome c,3,3,102743,119566,114082
Q00055,GPD1_YEAST,GPD1,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,6,5,920192,892259,912960
Q00059,TFAM_HUMAN,TFAM,"Transcription factor A, mitochondrial",6,6,274776,234075,224771
Q00169,PIPNA_HUMAN,PITPNA,Phosphatidylinositol transfer protein alpha isoform,7,6,210817,176014,172615
Q00245,RHO3_YEAST,RHO3,GTP-binding protein RHO3,7,7,150808,139921,127989
Q00266,METK1_HUMAN,MAT1A,S-adenosylmethionine synthase isoform type-1,2,2,31645.1,24369.1,23775.3
Q00325,S25A3_HUMAN,SLC25A3,Solute carrier family 25 member 3,8,8,3.98E+06,4.20E+06,3.97E+06
Q00341,VIGLN_HUMAN,HDLBP,Vigilin,24,24,183087,184130,166964
Q00362,2ABA_YEAST,CDC55,Protein phosphatase PP2A regulatory subunit B,4,3,142464,181887,173046
Q00402,NUM1_YEAST,NUM1,Nuclear migration protein NUM1,14,14,218817,198348,200918
Q00403,TF2B_HUMAN,GTF2B,Transcription initiation factor IIB,6,6,37858.4,33130.1,22408.9
Q00534,CDK6_HUMAN,CDK6,Cyclin-dependent kinase 6,4,4,16191.9,17124.3,18015.5
Q00535,CDK5_HUMAN,CDK5,Cyclin-dependent kinase 5,7,7,88568.7,84283.4,80987.3
Q00536,CDK16_HUMAN,CDK16,Cyclin-dependent kinase 16,4,2,27908.5,28915.4,34095.6
Q00539,NAM8_YEAST,NAM8,Protein NAM8,1,1,5008.34,6782.83,7048.78
Q00577,PURA_HUMAN,PURA,Transcriptional activator protein Pur-alpha,3,3,66859.4,48311.2,46577.9
Q00578,RAD25_YEAST,SSL2,General transcription and DNA repair factor IIH helicase/translocase subunit XPB/SSL2,1,1,20946.4,35334.1,
Q00582,RAGAB_YEAST,GTR1,GTP-binding protein GTR1,1,1,9054.27,8544.78,12189.5
Q00587,BORG5_HUMAN,CDC42EP1,Cdc42 effector protein 1,4,4,194223,,143299
Q00610,CLH1_HUMAN,CLTC,Clathrin heavy chain 1,35,27,1.56E+06,1.52E+06,1.36E+06
Q00613,HSF1_HUMAN,HSF1,Heat shock factor protein 1,1,1,14879.7,15925.2,13961.1
Q00618,PGTA_YEAST,BET4,Geranylgeranyl transferase type-2 subunit alpha,3,3,22644.8,27935.8,31546.5
Q00653,NFKB2_HUMAN,NFKB2,Nuclear factor NF-kappa-B p100 subunit,10,9,118948,108806,109745
Q00684,CDC14_YEAST,CDC14,Tyrosine-protein phosphatase CDC14,3,3,21751.3,21487.2,21064.5
Q00688,FKBP3_HUMAN,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3,8,8,864506,812262,721206
Q00711,SDHA_YEAST,SDH1,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",1,0,32732,26367.7,15543.2
Q00764,TPS1_YEAST,TPS1,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit",4,4,877824,761292,696318
Q00765,REEP5_HUMAN,REEP5,Receptor expression-enhancing protein 5,1,1,581573,462041,438156
Q00772,SLT2_YEAST,SLT2,Mitogen-activated protein kinase SLT2/MPK1,2,2,48938.3,41797.7,61394.6
Q00776,AP1M1_YEAST,APM1,AP-1 complex subunit mu-1-I,1,1,26773.1,39078.8,28338.1
Q00796,DHSO_HUMAN,SORD,Sorbitol dehydrogenase,6,6,323401,278054,265900
Q00816,REG1_YEAST,REG1,Resistance to glucose repression protein 1,11,11,38174.3,40865.7,36591.8
Q00839,HNRPU_HUMAN,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,14,14,3.03E+06,3.17E+06,2.95E+06
Q00873,CYT2_YEAST,CYT2,Holocytochrome-c1 synthase,1,1,8315.47,9037.14,7643.29
Q00955,ACAC_YEAST,ACC1,Acetyl-CoA carboxylase,48,45,1.23E+06,1.03E+06,995721
Q01080,RPA49_YEAST,RPA49,DNA-directed RNA polymerase I subunit RPA49,7,7,95402.9,73691.2,79870
