Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
Q04728,ARGJ_YEAST,ARG7,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial",1,1,7403.58,,,
Q04756,HGFA_HUMAN,HGFAC,Hepatocyte growth factor activator,1,1,,,,
Q04760,LGUL_HUMAN,GLO1,Lactoylglutathione lyase,4,4,779734,962774,813134,920820
Q04773,YMW4_YEAST,YMR074C,Uncharacterized protein YMR074C,2,2,33018.1,,44891.8,41869.7
Q04779,RCO1_YEAST,RCO1,Transcriptional regulatory protein RCO1,1,1,,,,
Q04792,DCE_YEAST,GAD1,Glutamate decarboxylase,4,4,53034.8,46492.5,54858.9,44636.6
Q04837,SSBP_HUMAN,SSBP1,"Single-stranded DNA-binding protein, mitochondrial",3,3,520219,635558,557346,626390
Q04847,ROY1_YEAST,ROY1,Non-SCF-type F-box protein ROY1,1,1,5034.06,,,
Q04864,REL_HUMAN,REL,Proto-oncogene c-Rel,1,1,,,,
Q04869,YM94_YEAST,YMR315W,Uncharacterized protein YMR315W,4,4,102779,103073,92204.2,102978
Q04894,ADH6_YEAST,ADH6,NADP-dependent alcohol dehydrogenase 6,4,4,257128,321794,291371,326719
Q04912,RON_HUMAN,MST1R,Macrophage-stimulating protein receptor,4,4,8047.92,,11257.6,9533.25
Q04917,1433F_HUMAN,YWHAH,14-3-3 protein eta,5,5,423333,460550,430643,495106
Q04934,IVY1_YEAST,IVY1,Protein IVY1,1,1,,,,
Q04935,COX20_YEAST,COX20,"Cytochrome c oxidase assembly protein COX20, mitochondrial",1,1,,,601.971,
Q04941,PLP2_HUMAN,PLP2,Proteolipid protein 2,1,1,103503,131683,110070,131113
Q04947,RTN1_YEAST,RTN1,Reticulon-like protein 1,5,5,1.44E+06,1.68E+06,1.48E+06,1.58E+06
Q04952,FKS3_YEAST,FKS3,"1,3-beta-glucan synthase component FKS3",1,1,,,,
Q04958,NTE1_YEAST,NTE1,Lysophospholipase NTE1,2,2,,,,
Q05016,YM71_YEAST,YMR226C,NADP-dependent 3-hydroxy acid dehydrogenase,6,6,225185,256992,261826,293214
Q05022,RRP5_YEAST,RRP5,rRNA biogenesis protein RRP5,14,14,61457.8,71971,58736.2,80848.3
Q05029,BCH1_YEAST,BCH1,Protein BCH1,2,2,,16155.8,,
Q05040,FAR8_YEAST,FAR8,Factor arrest protein 8,1,1,9476.96,11450.2,,
Q05048,CSTF1_HUMAN,CSTF1,Cleavage stimulation factor subunit 1,3,3,187940,231575,210862,202753
Q05050,EIS1_YEAST,EIS1,Eisosome protein 1,9,9,44671.7,37997.6,45037.6,35972.9
Q05086,UBE3A_HUMAN,UBE3A,Ubiquitin-protein ligase E3A,3,3,33416.1,29120.9,20287,29884.4
Q05123,ARP9_YEAST,ARP9,Actin-like protein ARP9,1,1,25790.7,25666.8,21340.9,
Q05209,PTN12_HUMAN,PTPN12,Tyrosine-protein phosphatase non-receptor type 12,4,4,17943,20249.9,22943.4,17668.9
Q05359,ERP1_YEAST,ERP1,Protein ERP1,3,3,44518.4,28063.9,34026.2,29370.8
Q05397,FAK1_HUMAN,PTK2,Focal adhesion kinase 1,6,6,26339.4,35253.4,31690.7,22897.6
Q05506,SYRC_YEAST,YDR341C,"Arginine--tRNA ligase, cytoplasmic",12,11,197646,254054,210166,211965
Q05515,SVF1_YEAST,SVF1,Ceramide-binding protein SVF1,3,3,547826,472536,521533,445003
Q05518,PAL1_YEAST,PAL1,Protein PAL1,2,2,,4978.91,,10781.5
Q05519,SRS11_HUMAN,SRSF11,Serine/arginine-rich splicing factor 11,5,5,20772.9,13511,30000.1,31410.7
Q05580,HEL2_YEAST,HEL2,E3 ubiquitin-protein ligase HEL2,2,2,,682.521,,
Q05584,GLO2_YEAST,GLO2,"Hydroxyacylglutathione hydrolase, cytoplasmic isozyme",3,3,78868,81822.7,75397.8,73557.8
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2,4,2,405322,384023,392584,389746
Q05655,KPCD_HUMAN,PRKCD,Protein kinase C delta type,5,3,30086.6,31611.6,30813.2,49464.1
Q05682,CALD1_HUMAN,CALD1,Caldesmon,8,8,189005,215766,212451,220009
Q05775,EIF3J_YEAST,HCR1,Eukaryotic translation initiation factor 3 subunit J,2,2,375328,459097,388816,478220
Q05778,POC1_YEAST,PBA1,Proteasome chaperone 1,1,1,,,2542.47,4457.06
Q05785,ENT2_YEAST,ENT2,Epsin-2,3,2,8592.81,9637.43,8737.52,12172.9
Q05788,PNPH_YEAST,PNP1,Purine nucleoside phosphorylase,1,1,16782.1,27096.3,21607,15386.8
Q05809,COA4_YEAST,COA4,Cytochrome oxidase assembly factor 4,1,1,,10191.5,14470.8,18251.7
Q05812,MSC3_YEAST,MSC3,Meiotic sister-chromatid recombination protein 3,1,1,,,6436.93,3122.95
Q05881,YL287_YEAST,YLR287C,Uncharacterized protein YLR287C,1,1,,,1466.77,2745.37
Q05905,HRI1_YEAST,HRI1,Protein HRI1,5,5,315019,392834,332247,409322
Q05911,PUR8_YEAST,ADE13,Adenylosuccinate lyase,9,9,187234,226827,207816,242490
Q05932,FOLC_HUMAN,FPGS,"Folylpolyglutamate synthase, mitochondrial",3,3,,4804.01,,
Q05933,ARPC3_YEAST,ARC18,Actin-related protein 2/3 complex subunit 3,2,2,46561.8,35458.5,53396.5,61992.7
Q05979,KYNU_YEAST,BNA5,Kynureninase,1,1,,,5998.25,5021.25
Q05D32,CTSL2_HUMAN,CTDSPL2,CTD small phosphatase-like protein 2,4,4,45582.6,30545.2,54697.9,41151.9
Q06010,STE23_YEAST,STE23,A-factor-processing enzyme,5,5,14435.1,11688.4,16632.3,13691.1
Q06033,ITIH3_HUMAN,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,2,2,210943,229176,230539,317757
Q06065,ATOC_ECOLI,atoC,Regulatory protein AtoC,1,1,,,,
Q06089,YP098_YEAST,YPR098C,Uncharacterized mitochondrial outer membrane protein YPR098C,1,1,60413.7,55525.5,,
Q06103,RPN7_YEAST,RPN7,26S proteasome regulatory subunit RPN7,7,7,86433.1,89891,81077.2,94997.6
Q06106,MRD1_YEAST,MRD1,Multiple RNA-binding domain-containing protein 1,1,1,,3328.29,,
Q06108,RGC1_YEAST,RGC1,Regulator of the glycerol channel 1,1,1,,,,
Q06124,PTN11_HUMAN,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,5,5,82163.2,83880.7,82766.5,86917
Q06132,SGD1_YEAST,SGD1,Suppressor of glycerol defect protein 1,1,1,,,,
Q06136,KDSR_HUMAN,KDSR,3-ketodihydrosphingosine reductase,2,2,49765.9,58866.3,37245.4,46823.5
Q06142,IMB1_YEAST,KAP95,Importin subunit beta-1,2,2,,,,22984.2
Q06143,DIC1_YEAST,DIC1,Mitochondrial dicarboxylate transporter,1,1,,,,
Q06146,YL257_YEAST,YLR257W,Uncharacterized protein YLR257W,3,3,35131.8,45771.8,36183.1,49437.6
Q06151,DCPS_YEAST,DCS1,m7GpppX diphosphatase,2,2,22162.9,24329.6,18178.7,18638.9
Q06169,PEX30_YEAST,PEX30,Peroxisomal membrane protein PEX30,2,2,,2776.43,4448.42,4679.59
Q06177,TMA10_YEAST,TMA10,Translation machinery-associated protein 10,1,1,713951,814449,776211,847820
Q06179,FMP27_YEAST,FMP27,"Protein FMP27, mitochondrial",1,1,,,1472.02,
Q06203,PUR1_HUMAN,PPAT,Amidophosphoribosyltransferase,3,3,,44546.1,45641.3,45576.1
Q06210,GFPT1_HUMAN,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,9,7,114402,154621,142535,146257
Q06214,JIP5_YEAST,JIP5,WD repeat-containing protein JIP5,1,1,3015.58,,2228.69,
Q06218,DBP9_YEAST,DBP9,ATP-dependent RNA helicase DBP9,3,3,,6072.51,,
Q06224,YSH1_YEAST,YSH1,Endoribonuclease YSH1,1,1,,,,
Q06252,YL179_YEAST,YLR179C,Uncharacterized protein YLR179C,3,3,222580,293061,247449,243129
Q06263,VTA1_YEAST,VTA1,Vacuolar protein sorting-associated protein VTA1,1,1,,,,
Q06265,EXOS9_HUMAN,EXOSC9,Exosome complex component RRP45,5,5,82294.9,69439.6,87100.8,64647.4
Q06287,NEP1_YEAST,EMG1,Ribosomal RNA small subunit methyltransferase NEP1,1,1,8529.89,,,5922.91
Q06323,PSME1_HUMAN,PSME1,Proteasome activator complex subunit 1,8,8,812714,904412,824539,831010
Q06330,SUH_HUMAN,RBPJ,Recombining binding protein suppressor of hairless,2,2,,19219.4,14542.3,
Q06336,GGA1_YEAST,GGA1,ADP-ribosylation factor-binding protein GGA1,2,2,,4771.54,11600.7,4025.93
Q06344,ESF1_YEAST,ESF1,Pre-rRNA-processing protein ESF1,1,1,6196.6,9532.81,,13517.3
Q06385,VPS74_YEAST,VPS74,Vacuolar protein sorting-associated protein 74,1,1,93583.9,108926,113337,94311.8
Q06406,LSM6_YEAST,LSM6,U6 snRNA-associated Sm-like protein LSm6,2,2,,,1809.6,
Q06408,ARO10_YEAST,ARO10,Transaminated amino acid decarboxylase,1,1,1015.57,2349.34,1615.11,
Q06440,CORO_YEAST,CRN1,Coronin-like protein,5,5,11720.4,7276.18,9013.16,8691.42
Q06449,PIN3_YEAST,PIN3,[PSI+] inducibility protein 3,1,1,40203.8,50525.7,24474,36613.6
Q06489,MTNA_YEAST,MRI1,Methylthioribose-1-phosphate isomerase,5,5,4509.09,9308.55,6194.26,8364.41
Q06493,YLH47_YEAST,YLH47,"LETM1 domain-containing protein YLH47, mitochondrial",1,1,,,9508.51,
Q06494,PLR1_YEAST,YPR127W,Putative pyridoxal reductase,6,6,10554.6,13655.5,14803.8,15686.6
Q06497,ANT1_YEAST,ANT1,Peroxisomal adenine nucleotide transporter 1,1,1,,,,
Q06505,IWS1_YEAST,SPN1,Transcription factor SPN1,4,4,7542.3,9535.67,,2686.34
Q06508,LOA1_YEAST,LOA1,Lysophosphatidic acid:oleoyl-CoA acyltransferase 1,1,1,,,,
Q06511,RRP15_YEAST,RRP15,Ribosomal RNA-processing protein 15,1,1,16123,16323.2,17440.7,10893.2
Q06523,YP148_YEAST,YPR148C,Uncharacterized protein YPR148C,4,4,117356,122541,126025,98590.6
Q06546,GABPA_HUMAN,GABPA,GA-binding protein alpha chain,4,4,41894,52129.9,44831.2,44965.7
Q06547,GABP1_HUMAN,GABPB1,GA-binding protein subunit beta-1,1,1,,,7489.54,9605.49
Q06587,RING1_HUMAN,RING1,E3 ubiquitin-protein ligase RING1,2,2,,,19881.1,18547.1
Q06608,PDXH_YEAST,YPR172W,Pyridoxamine 5'-phosphate oxidase homolog,1,1,,110535,92044.3,
Q06624,RHC31_YEAST,AOS1,DNA damage tolerance protein RHC31,1,1,5858.85,,,
Q06625,GDE_YEAST,GDB1,Glycogen debranching enzyme,5,5,21539.8,29575.7,12577.3,27484.7
Q06631,BFR2_YEAST,BFR2,Protein BFR2,1,1,,,3503.32,
Q06632,CFT1_YEAST,CFT1,Protein CFT1,1,1,,,,
Q06672,TSR2_YEAST,TSR2,Pre-rRNA-processing protein TSR2,1,1,13027.2,10812.4,,16720.5
Q06677,SWA2_YEAST,SWA2,Auxilin-like clathrin uncoating factor SWA2,1,1,,7566.67,,
Q06679,UTP4_YEAST,UTP4,U3 small nucleolar RNA-associated protein 4,2,2,2087.28,,1330.87,2694.68
Q06682,UBX5_YEAST,UBX5,UBX domain-containing protein 5,2,2,,,,
Q06685,VIP1_YEAST,VIP1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,4,4,17319.8,20610,13228,22339.5
Q06698,YL419_YEAST,YLR419W,Putative ATP-dependent RNA helicase YLR419W,1,1,806.704,,1291.78,1174.13
Q06704,IMH1_YEAST,IMH1,Golgin IMH1,3,3,11406.8,8832.01,14195.7,9649.66
Q06705,CSR1_YEAST,CSR1,Phosphatidylinositol transfer protein CSR1,4,4,,5932.96,5510.67,8336.82
Q06706,ELP1_YEAST,IKI3,Elongator complex protein 1,3,3,10723.8,16012.2,13332.9,12758.2
Q06708,VAC14_YEAST,VAC14,Vacuole morphology and inheritance protein 14,1,1,16477.9,,14553.8,
Q06709,REH1_YEAST,REH1,Cytoplasmic 60S subunit biogenesis factor REH1,1,1,885.312,2383.71,1823.83,
Q06787,FMR1_HUMAN,FMR1,Fragile X messenger ribonucleoprotein 1,3,2,93649.2,208558,125000,116823
Q06815,MRL1_YEAST,MRL1,Mannose 6-phosphate receptor-like protein 1,1,1,,12966,,
Q06830,PRDX1_HUMAN,PRDX1,Peroxiredoxin-1,6,5,6.33E+06,8.10E+06,7.05E+06,7.78E+06
Q06833,NVJ2_YEAST,NVJ2,Nucleus-vacuole junction protein 2,1,1,,,,900.502
Q07020,RL18_HUMAN,RPL18,Large ribosomal subunit protein eL18,3,3,3.62E+06,4.23E+06,3.60E+06,4.09E+06
Q07021,C1QBP_HUMAN,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",1,1,768641,766197,633943,747758
Q07065,CKAP4_HUMAN,CKAP4,Cytoskeleton-associated protein 4,17,17,298286,354868,325088,370724
